,1,2,3,4,5,6,7,8,9,10,11,12
A,8133.43,6483.07,7754.18,7622.69,7956.1,7143.06,7857.08,6310.75,7305.92,6409.57,7157.49,7131.98
B,6626.28,6005.11,6588.93,6345.57,6588.27,6180.63,6047.33,5781.8,5857.38,6020.75,6140.99,5924.05
C,6790.81,6105.28,6570.7,6430.82,6346.75,6304.71,5936.55,5712.02,6147.47,6199.82,6254.07,6108.44
D,6573.53,6348.79,6551.59,6462.78,6580.92,5855.3,6303.96,6059.49,6157.09,6029.56,6104.33,6704.26
E,6571.75,6221.18,6549.63,6817.41,6620.97,5773.03,6209.25,5703.62,6543.48,5709.62,5790.85,5875.89
F,6188.4,6112.86,5907.81,5729.49,5664.47,5271.31,5110.89,5231.12,5988.89,5132.45,5170.33,5130.06
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
