,1,2,3,4,5,6,7,8,9,10,11,12
A,5057.06,4783.66,5078.13,5167.01,4700.77,5197.73,5315.61,5409.08,5625.7,10495.8,10429.1,11244.5
B,4671.89,4601.69,4227.2,4381.99,4358.68,4378.42,5194.24,5032.31,5174.24,11114.4,10837.2,10065.1
C,4744.37,4703.22,4537.03,4686.54,4493.4,4399.69,4920.31,4752.77,4924.04,14023,17278.9,17019.4
D,4153.12,4217.5,4361.31,4265.09,4169.09,4349.23,4758.92,4718.97,4837.74,9337.67,8953.12,9470.39
E,4181.73,4169.4,4046.29,4190.75,4019.46,3972.25,4324.55,4413.14,4668.31,7588.7,7562.02,7901.54
F,4113.01,3985.28,3997.27,4070.19,4049.12,4413.54,4403.08,4610.77,4391.02,5076.97,5187.29,5181.23
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
