,1,2,3,4,5,6,7,8,9,10,11,12
A,5154.67,3955.43,5057.75,5302.8,5438.37,5085.55,5198.59,4619.61,5204.6,4515.97,5004.72,5097.08
B,4082.68,3836.6,4175.61,4184.95,4421.12,4225.11,4106.45,4167.7,4045.34,4301.88,4317.66,4363.39
C,4109.38,3975.25,4148.1,4221.04,4370.86,4038.82,4296.12,4121.59,4311.76,4441.94,4406.1,4319.73
D,4081.61,3909.77,4234.07,4035.54,4420.58,4146.8,4408.72,4160.6,4488.26,4406.52,4389.67,5041.04
E,3905.86,3758.05,4228.18,4344.31,4433.02,4205.45,4430.12,4030.66,4126.04,4121.11,4213.54,4373.1
F,4126.48,3965.64,4056.54,4026.83,4017.97,4086.22,4179.11,4056.89,4575.74,3968.13,3904.75,4539.44
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
