,1,2,3,4,5,6,7,8,9,10,11,12
A,5015.09,4982.24,4832.62,5092.69,4549.91,4149.38,4524.04,4350.72,4552.36,4240.59,4473.62,4324.73
B,4936.21,4864.53,4516.2,4587.71,4558.1,4645.55,4504.77,4344.03,4440.45,4556.93,4350.43,4277.38
C,4484.37,4298.97,4244.26,4713.67,4249.3,4247.67,4326.46,4037.06,4243.26,4283.77,4060.93,4021.86
D,4297.3,4251.87,4156.67,4071.41,3990.14,4226.12,4028.07,4131.36,3952.6,3978.11,4083.4,3946.14
E,4692.99,4272.11,4474.9,4409.24,4441.39,4231.11,4248.89,4157.84,4491.52,4283.66,4213.91,4106.84
F,4174.48,3983.53,3919.73,3948.89,4078.21,4352.43,3981.82,4055.51,4269.84,3989.34,4014.68,4163.55
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
