,1,2,3,4,5,6,7,8,9,10,11,12
A,5735.93,5734.76,5230.57,5839.01,4888.33,4313.33,4673.21,4588.74,4781.04,4515.63,5018.87,4446.57
B,5706.66,5234.04,4770.97,4870.4,4713.04,4812.28,4653.2,4471.94,4717.69,4722.79,4538.5,4574.33
C,5285.54,4713.04,4470.39,4792.39,4347,4338.39,4352.3,4171.84,4312.07,4452.49,4265.01,4252.84
D,4817.86,4565.47,4414.19,4222.73,4084.65,4310.09,4164.14,4273.91,4075.64,4154.76,4262.75,4190.51
E,5352.82,4595.47,4681.61,4548.65,4566.68,4355.01,4357.65,4226.42,4587.44,4390.61,4434.03,4297.18
F,4712.35,4212.31,4092.97,4015.97,4104.84,4388.91,4073.69,4078.12,4372.21,4023.13,4146.67,4221.58
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
