,1,2,3,4,5,6,7,8,9,10,11,12
A,4952.05,4900.96,4737.35,5010.6,4460.15,4046.91,4311.84,4176.13,4445.15,4133.46,4340.7,4192.28
B,4856.44,4763.49,4415.08,4497.21,4464.17,4530.51,4352.47,4174.64,4260.44,4386.5,4224.18,4161.05
C,4391.62,4139.69,4150.88,4599.78,4145.62,4140.89,4183.28,3890.78,4080.61,4108.98,3895.99,3866.76
D,4216.86,4170.82,4054.72,3971.12,3893.41,4108.99,3805.78,3967.53,3791.86,3794.02,3904.58,3781.42
E,4564.94,4179.58,4360.2,4300.23,4326.71,4111.22,4113.75,4006,4296.94,4099.3,4052.86,3957.97
F,4057.59,3904.35,3841.35,3876.9,3996.29,4202.04,3871.26,3948.96,4142.28,3863.35,3874.05,4010.92
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
