,1,2,3,4,5,6,7,8,9,10,11,12
A,6092.03,6229.58,5873.97,5674.2,5160.16,5688.89,5590.54,5588.31,6161.28,15312.7,14719.2,16365.1
B,5345.39,6023.27,4836.1,4825.41,4798.93,4826.52,5095.93,4869.24,4997.34,12570.2,12194.4,11397.8
C,5824.6,5227.96,5061.03,5234.67,4992.76,4933.11,5518.14,5354.41,5625.59,16453.3,23486.4,21012.4
D,4975.01,4544.05,4733.17,4639.23,4516.71,4654.93,4707.45,4730.84,4934.9,11467.8,12138,13483.4
E,4681.94,4621.67,4336.89,4504.54,4349.3,4326.87,4488.53,4581.49,4823.11,8627.25,9207.2,10442.6
F,4367.81,4151.4,4186.67,4249.65,4234.31,4680.52,4408.23,4677.61,4442.73,5257.23,5304.73,5383.81
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
