,1,2,3,4,5,6,7,8,9,10,11,12
A,8441.3,10165.7,8108.57,6489.83,7197.91,7431.29,6866.04,6243.19,5991.92,6240.31,6596.1,6009.33
B,6475.85,6528.16,6082.02,4888.83,4977.87,5211.71,4755.39,4866.93,5047.2,5153.06,4892.49,4810.54
C,6350.23,6841.21,5955.86,4909.06,4959.65,5246.84,4931.31,4952.27,4673.05,4823.46,4842.04,4837.89
D,6255.84,6967.13,5909.26,4815.31,4778.5,4996.21,4513.71,4543.09,4586.06,4598.25,4653.35,4465.53
E,6694.58,6846.05,5734.61,5059.64,4874.99,5231.49,4728.15,4253.7,4454.25,4802.91,4666.14,4479.61
F,6400.51,6237.13,5301.21,4613.77,4597.26,4522.4,4399.52,4493.7,4524,4335.91,4285.58,4380.91
G,X,X,X,X,X,X,X,X,X,X,X,X
H,X,X,X,X,X,X,X,X,X,X,X,X
